
2025-08-28 12:51:50 [INFO] [PID:78684] ============================================================
2025-08-28 12:51:50 [INFO] [PID:78684] Production VAD (identity-preserving) starting
2025-08-28 12:51:50 [INFO] [PID:78684] Paths: in=data/<split>/<split>/wav/<spk>/*.wav | out=data/processed/vad_segments/<split>/<spk>/*.wav
2025-08-28 12:51:50 [INFO] [PID:78684] 16kHz | frame=30ms | merge_gap=0.5 | energy=adaptive@14pct
2025-08-28 12:51:50 [INFO] [PID:78684] ============================================================
2025-08-28 12:51:50 [INFO] [PID:78684] 
Processing TRAIN split: 174 speakers
2025-08-28 12:51:50 [INFO] [PID:78684] Configuration: min_segment_length=1.6s, energy_threshold=adaptive@14pct
2025-08-28 12:52:27 [INFO] [PID:82000] SSB0018: 422 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:54 [INFO] [PID:89524] SSB0200: 454 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:55 [INFO] [PID:96788] SSB0267: 440 segments | rejected_short=28, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:55 [INFO] [PID:94780] SSB0261: 443 segments | rejected_short=35, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:58 [INFO] [PID:96988] SSB0197: 449 segments | rejected_short=7, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:58 [INFO] [PID:74360] SSB0241: 434 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:58 [INFO] [PID:95808] SSB0246: 423 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:58 [INFO] [PID:93084] SSB0288: 411 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:59 [INFO] [PID:76296] SSB0149: 434 segments | rejected_short=37, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:00 [INFO] [PID:77600] SSB0287: 456 segments | rejected_short=14, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:00 [INFO] [PID:96176] SSB0273: 459 segments | rejected_short=3, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:01 [INFO] [PID:86928] SSB0299: 473 segments | rejected_short=19, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:05 [INFO] [PID:91712] SSB0307: 479 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:11 [INFO] [PID:82000] SSB0309: 444 segments | rejected_short=9, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:13 [INFO] [PID:89236] SSB0315: 421 segments | rejected_short=18, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:16 [INFO] [PID:66664] SSB0316: 401 segments | rejected_short=75, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:19 [INFO] [PID:96788] SSB0338: 427 segments | rejected_short=53, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:20 [INFO] [PID:94780] SSB0339: 430 segments | rejected_short=62, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:22 [INFO] [PID:89524] SSB0323: 436 segments | rejected_short=10, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:23 [INFO] [PID:93084] SSB0366: 446 segments | rejected_short=31, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:24 [INFO] [PID:76296] SSB0375: 463 segments | rejected_short=17, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:24 [INFO] [PID:95808] SSB0354: 470 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:25 [INFO] [PID:96988] SSB0341: 472 segments | rejected_short=17, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:25 [INFO] [PID:74360] SSB0342: 455 segments | rejected_short=10, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:26 [INFO] [PID:77600] SSB0379: 475 segments | rejected_short=10, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:27 [INFO] [PID:96176] SSB0380: 478 segments | rejected_short=16, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:28 [INFO] [PID:86928] SSB0382: 441 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:31 [INFO] [PID:91712] SSB0385: 439 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:34 [INFO] [PID:89236] SSB0394: 421 segments | rejected_short=27, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:36 [INFO] [PID:96788] SSB0407: 418 segments | rejected_short=2, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:36 [INFO] [PID:82000] SSB0393: 459 segments | rejected_short=32, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:40 [INFO] [PID:89524] SSB0426: 363 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:41 [INFO] [PID:66664] SSB0395: 435 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:45 [INFO] [PID:76296] SSB0434: 397 segments | rejected_short=8, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:45 [INFO] [PID:93084] SSB0427: 426 segments | rejected_short=22, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:45 [INFO] [PID:94780] SSB0415: 444 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:48 [INFO] [PID:96176] SSB0534: 467 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:49 [INFO] [PID:74360] SSB0482: 450 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:49 [INFO] [PID:95808] SSB0435: 479 segments | rejected_short=19, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:50 [INFO] [PID:96988] SSB0470: 454 segments | rejected_short=37, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:50 [INFO] [PID:86928] SSB0535: 375 segments | rejected_short=14, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:50 [INFO] [PID:77600] SSB0502: 453 segments | rejected_short=15, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:55 [INFO] [PID:91712] SSB0539: 455 segments | rejected_short=30, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:57 [INFO] [PID:89236] SSB0544: 429 segments | rejected_short=9, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:53:57 [INFO] [PID:96788] SSB0565: 426 segments | rejected_short=28, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:02 [INFO] [PID:82000] SSB0570: 448 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:04 [INFO] [PID:66664] SSB0588: 448 segments | rejected_short=18, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:04 [INFO] [PID:89524] SSB0578: 439 segments | rejected_short=39, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:10 [INFO] [PID:93084] SSB0594: 436 segments | rejected_short=8, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:10 [INFO] [PID:94780] SSB0599: 437 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:10 [INFO] [PID:76296] SSB0590: 479 segments | rejected_short=20, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:12 [INFO] [PID:96176] SSB0601: 450 segments | rejected_short=25, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:13 [INFO] [PID:74360] SSB0603: 458 segments | rejected_short=31, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:14 [INFO] [PID:96988] SSB0607: 464 segments | rejected_short=10, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:15 [INFO] [PID:95808] SSB0606: 449 segments | rejected_short=9, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:17 [INFO] [PID:77600] SSB0614: 481 segments | rejected_short=7, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:18 [INFO] [PID:86928] SSB0609: 450 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:19 [INFO] [PID:91712] SSB0623: 440 segments | rejected_short=19, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:23 [INFO] [PID:89236] SSB0629: 428 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:24 [INFO] [PID:96788] SSB0631: 410 segments | rejected_short=32, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:28 [INFO] [PID:89524] SSB0668: 491 segments | rejected_short=5, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:28 [INFO] [PID:82000] SSB0632: 442 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:29 [INFO] [PID:66664] SSB0666: 472 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:29 [INFO] [PID:94780] SSB0686: 375 segments | rejected_short=54, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:34 [INFO] [PID:93084] SSB0671: 477 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:35 [INFO] [PID:74360] SSB0720: 432 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:76296] SSB0700: 440 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:76296] SSB0817: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:96988] SSB0723: 424 segments | rejected_short=26, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:76296] SSB0851: 0 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:96988] SSB0871: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:76296] SSB0863: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:77600] SSB0746: 454 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:96988] SSB0887: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:37 [INFO] [PID:77600] SSB0915: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:38 [INFO] [PID:96176] SSB0710: 455 segments | rejected_short=32, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:39 [INFO] [PID:95808] SSB0737: 458 segments | rejected_short=31, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:43 [INFO] [PID:86928] SSB0748: 444 segments | rejected_short=11, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:43 [INFO] [PID:86928] SSB1008: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:44 [INFO] [PID:96788] SSB0760: 448 segments | rejected_short=41, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:47 [INFO] [PID:91712] SSB0751: 433 segments | rejected_short=17, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:47 [INFO] [PID:91712] SSB1050: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:47 [INFO] [PID:91712] SSB1055: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:49 [INFO] [PID:89236] SSB0758: 410 segments | rejected_short=30, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:49 [INFO] [PID:89236] SSB1064: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:50 [INFO] [PID:82000] SSB0778: 420 segments | rejected_short=44, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:50 [INFO] [PID:82000] SSB1091: 0 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:51 [INFO] [PID:94780] SSB0784: 453 segments | rejected_short=18, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:51 [INFO] [PID:89524] SSB0762: 473 segments | rejected_short=17, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:51 [INFO] [PID:89524] SSB1108: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:53 [INFO] [PID:66664] SSB0780: 451 segments | rejected_short=8, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:58 [INFO] [PID:74360] SSB0794: 447 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:54:59 [INFO] [PID:93084] SSB0786: 457 segments | rejected_short=5, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:00 [INFO] [PID:76296] SSB0913: 421 segments | rejected_short=15, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:00 [INFO] [PID:76296] SSB1138: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:00 [INFO] [PID:96988] SSB0919: 424 segments | rejected_short=15, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:01 [INFO] [PID:95808] SSB0987: 454 segments | rejected_short=20, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:01 [INFO] [PID:95808] SSB1204: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:01 [INFO] [PID:96788] SSB1024: 345 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:01 [INFO] [PID:96788] SSB1221: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:02 [INFO] [PID:77600] SSB0935: 439 segments | rejected_short=28, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:02 [INFO] [PID:77600] SSB1320: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:06 [INFO] [PID:96176] SSB0966: 454 segments | rejected_short=7, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1020: 469 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1377: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1383: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1385: 0 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1392: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1393: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1408: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1431: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:07 [INFO] [PID:86928] SSB1437: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:08 [INFO] [PID:91712] SSB1056: 440 segments | rejected_short=11, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:11 [INFO] [PID:94780] SSB1100: 435 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:12 [INFO] [PID:89236] SSB1072: 475 segments | rejected_short=21, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:13 [INFO] [PID:89524] SSB1115: 443 segments | rejected_short=16, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:14 [INFO] [PID:82000] SSB1096: 473 segments | rejected_short=20, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:14 [INFO] [PID:93084] SSB1136: 289 segments | rejected_short=2, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:16 [INFO] [PID:66664] SSB1125: 451 segments | rejected_short=31, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:19 [INFO] [PID:96988] SSB1203: 328 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:19 [INFO] [PID:74360] SSB1131: 440 segments | rejected_short=8, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:21 [INFO] [PID:95808] SSB1218: 348 segments | rejected_short=3, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:21 [INFO] [PID:95808] SSB1630: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:21 [INFO] [PID:76296] SSB1161: 344 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:22 [INFO] [PID:96788] SSB1253: 348 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:23 [INFO] [PID:77600] SSB1341: 329 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:25 [INFO] [PID:96176] SSB1366: 351 segments | rejected_short=3, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:28 [INFO] [PID:86928] SSB1448: 354 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:31 [INFO] [PID:91712] SSB1555: 424 segments | rejected_short=2, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:31 [INFO] [PID:91712] SSB1759: 1 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:32 [INFO] [PID:91712] SSB1806: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:89236] SSB1567: 429 segments | rejected_short=19, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:66664] SSB1607: 334 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:89236] SSB1831: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:89524] SSB1575: 435 segments | rejected_short=11, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:89524] SSB1846: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:94780] SSB1563: 479 segments | rejected_short=9, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:35 [INFO] [PID:94780] SSB1878: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:36 [INFO] [PID:94780] SSB1891: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:36 [INFO] [PID:94780] SSB1918: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:36 [INFO] [PID:82000] SSB1585: 424 segments | rejected_short=17, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:37 [INFO] [PID:93084] SSB1593: 415 segments | rejected_short=55, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:41 [INFO] [PID:96988] SSB1624: 419 segments | rejected_short=53, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:41 [INFO] [PID:96788] SSB1684: 317 segments | rejected_short=2, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:41 [INFO] [PID:95808] SSB1650: 342 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:41 [INFO] [PID:76296] SSB1670: 348 segments | rejected_short=2, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:42 [INFO] [PID:96176] SSB1699: 306 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:42 [INFO] [PID:77600] SSB1686: 337 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:42 [INFO] [PID:74360] SSB1625: 439 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:47 [INFO] [PID:86928] SSB1711: 358 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:51 [INFO] [PID:91712] SSB1828: 444 segments | rejected_short=14, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:51 [INFO] [PID:89236] SSB1837: 404 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:52 [INFO] [PID:94780] SSB1935: 382 segments | rejected_short=31, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:52 [INFO] [PID:89524] SSB1863: 426 segments | rejected_short=9, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:52 [INFO] [PID:66664] SSB1832: 429 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:54 [INFO] [PID:82000] SSB1939: 436 segments | rejected_short=9, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:54 [INFO] [PID:93084] SSB1956: 434 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:55:57 [INFO] [PID:78684] 
TRAIN Summary:
2025-08-28 12:55:57 [INFO] [PID:78684]   Processed speakers: 171/174 (98.3%)
2025-08-28 12:55:57 [INFO] [PID:78684]   Total segments: 61,075
2025-08-28 12:55:57 [INFO] [PID:78684]   Average segments per speaker: 351.0
2025-08-28 12:55:57 [INFO] [PID:78684]   Segment acceptance rate: 96.3%
2025-08-28 12:55:57 [INFO] [PID:78684]   Rejected (short): 2334
2025-08-28 12:55:57 [INFO] [PID:78684]   Rejected (low energy): 0
2025-08-28 12:55:57 [INFO] [PID:78684]   Skipped existing: 0
2025-08-28 12:55:57 [INFO] [PID:78684]   Preprocessing failures: 0
2025-08-28 12:55:57 [INFO] [PID:78684]   Time taken: 247.1 seconds
2025-08-28 12:55:57 [INFO] [PID:78684] ============================================================
2025-08-28 12:55:57 [INFO] [PID:78684] 
Processing TEST split: 214 speakers
2025-08-28 12:55:57 [INFO] [PID:78684] Configuration: min_segment_length=1.5s, energy_threshold=adaptive@14pct
2025-08-28 12:56:14 [INFO] [PID:82512] SSB0038: 0 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:56:14 [INFO] [PID:7088] SSB0005: 1 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:56:14 [INFO] [PID:91092] SSB0122: 1 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:56:14 [INFO] [PID:89216] SSB0080: 2 segments | rejected_short=1, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:56:14 [INFO] [PID:93712] SSB0073: 2 segments | rejected_short=0, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:56:14 [INFO] [PID:92180] SSB0033: 1 segments | rejected_short=3, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:56:14 [INFO] [PID:62504] SSB0133: 1 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
